Database of Agriculture from Mediterranean-Basin and Europe (DAME);;;;;;;;;;;;
Decision-Making Table;;;;;;;;;;;;
Country;Administrative Level;Source Crop;Decision;Std Crop;Crop Subgroup;Crop Group;Area Type;Unit transformation;Source Units;Yield Data Availability;Production Data Availability;Source Data
Spain;3;FORRAJEROS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;CEREALES DE INVIERNO PARA FORRAJE;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;MAÍZ FORRAJERO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;SORGO FORRAJERO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;BALLICO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTRAS GRAMÍNEAS FORRAJERAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALFALFA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;VEZA PARA FORRAJE;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;TRÉBOL;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ESPARCETA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ZULLA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ORTAS LEGUMINOSAS PARA FORRAJE;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;PRADERAS POLIFITAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;NABO FORRAJERO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;REMOLACHA FORRAJERA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ZANAHORIA FORRAJERA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;PATACA, CHIRIVIA Y OTROS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;COL FORRAJERA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;CALABAZA FORRAJERA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;CARDO Y OTROS FORRAJES VARIOS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;CULTIVOS FORRAJEROS PASTADOS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;BARBECHOS, RASTROJERAS Y OTROS APROVECHAMIENTOS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;HORTALIZAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Hortalizas de hoja o tallo;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Hortalizas de fruto;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Hortalizas de flor;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Raíces y bulbos;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Leguminosas;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTRAS HORTALIZAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Lechuga romana;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Lechuga acogollada;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;BORRAJA;Keep and rename;borage;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;BERZA;Keep and rename;collard;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;Melón de piel lisa;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Melón tendral;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Melón cantalupo;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Otros melones;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;PEPINILLO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;GUINDILLA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;AJO;Keep and rename;garlic;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;Cebolla babosa;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Cebolla medio grano o Liria;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Cebolla grano o valenciana;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Otras cebollas;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;CEBOLLETA;Group and Sum;onion;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;REMOLACHA DE MESA;Keep and rename;beet;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;RÁBANO;Keep and rename;radish;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;NABO;Keep and rename;turnip;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;CHAMPIÑÓN;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTRAS SETAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Clavel Tipo americano;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Clavel Tipo Anita;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Otros claveles;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Rosa Baccara o Rouse Meilland;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Otras rosas;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ESQUEJES;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;CÍTRICOS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Naranja Navelina;Group and Sum;navel orange;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Naranja Navel;Group and Sum;navel orange;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Naranja Navelate;Group and Sum;navel orange;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Naranja Salustiana;Group and Sum;white orange;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Naranja Otras blancas selectas;Group and Sum;white orange;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Naranja Blancas comunes;Group and Sum;white orange;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Naranja sanguinas;Keep and rename;blood orange;;;Sown Area;Original;hectares;yes;yes;116
